unique_work_number,installment_number,amount,release_date,transaction_type
MPLADS/MA/2026-2027/0001,1,595556.11,2026-03-01,Release
MPLADS/MA/2026-2027/0001,2,532247.84,2026-07-24,Release
MPLADS/UT/2025-2026/0002,1,465547.02,2025-11-04,Release
MPLADS/UT/2025-2026/0002,2,338857.98,2026-04-13,Release
MPLADS/UT/2025-2026/0002,3,423282.17,2026-07-31,Release
MPLADS/UT/2025-2026/0003,1,449849.94,2025-07-17,Release
MPLADS/UT/2025-2026/0003,2,404639.73,2025-09-26,Release
MPLADS/MA/2026-2027/0004,1,954166.6,2026-05-18,Release
MPLADS/MA/2026-2027/0004,2,653520.74,2026-08-24,Release
MPLADS/MA/2025-2026/0005,1,1532157.87,2025-11-21,Release
MPLADS/MA/2025-2026/0005,2,1563870.32,2026-04-05,Release
MPLADS/MA/2025-2026/0005,3,2143688.27,2026-09-13,Release
MPLADS/UT/2024-2025/0006,1,227359.02,2024-05-10,Release
MPLADS/UT/2024-2025/0006,2,329125.71,2024-10-20,Release
MPLADS/MA/2024-2025/0007,1,494499.55,2024-06-16,Release
MPLADS/MA/2024-2025/0007,2,633348.12,2024-10-16,Release
MPLADS/MA/2024-2025/0007,3,662059.05,2025-04-11,Release
MPLADS/UT/2024-2025/0008,1,296686.2,2024-05-08,Release
MPLADS/UT/2024-2025/0008,2,271411.34,2024-07-15,Release
MPLADS/UT/2025-2026/0009,1,50156.06,2026-01-01,Release
MPLADS/UT/2025-2026/0009,2,57474.6,2026-06-04,Release
MPLADS/UT/2025-2026/0009,3,55276.58,2026-10-29,Release
MPLADS/UT/2025-2026/0009,4,51678.52,2027-04-14,Release
MPLADS/MA/2026-2027/0010,1,1665183.55,2026-10-14,Release
MPLADS/TA/2024-2025/0011,1,453007.04,2024-06-21,Release
MPLADS/TA/2024-2025/0011,2,346894.84,2024-09-09,Release
MPLADS/TA/2024-2025/0011,3,490866.2,2024-03-17 00:00:00,Release
MPLADS/MA/2025-2026/0012,1,285270.06,2025-11-22,Release
MPLADS/MA/2025-2026/0012,2,342815.3,2026-02-20,Release
MPLADS/MA/2025-2026/0013,1,134288.6,2025-03-22 00:00:00,Release
