unique_work_number,progress_date,physical_progress,financial_progress,work_status
MPLADS/MA/2026-2027/0001,2026-05-12,60,61.79,Ongoing
MPLADS/UT/2025-2026/0002,2026-02-08,25,25.67,Ongoing
MPLADS/UT/2025-2026/0003,2025-10-04,20,22.73,Ongoing
MPLADS/MA/2026-2027/0004,2026-08-02,55,54.7,Ongoing
MPLADS/MA/2025-2026/0005,2026-01-06,67,79.5,Ongoing
MPLADS/UT/2024-2025/0006,2024-08-24,100,100.0,Completed
MPLADS/MA/2024-2025/0007,2024-09-20,26,20.95,Ongoing
MPLADS/UT/2024-2025/0008,2024-07-26,100,100.0,Completed
MPLADS/UT/2025-2026/0009,2026-04-26,100,100.0,Completed
MPLADS/MA/2026-2027/0010,2026-11-30,80,69.28,Ongoing
MPLADS/TA/2024-2025/0011,2024-10-22,46,44.46,Ongoing
MPLADS/MA/2025-2026/0012,2026-01-24,86,74.99,Ongoing
MPLADS/MA/2025-2026/0013,2025-10-20,79,79.24,Ongoing
MPLADS/UT/2025-2026/0014,2026-02-26,56,51.19,Ongoing
MPLADS/TA/2025-2026/0015,2025-05-16,13,12.92,Ongoing
MPLADS/MA/2024-2025/0016,2025-01-26,51,45.49,Ongoing
MPLADS/UT/2024-2025/0017,2024-05-22,100,100.0,Completed
MPLADS/UT/2024-2025/0018,2025-02-14,100,100.0,Completed
MPLADS/UT/2026-2027/0019,2026-11-20,31,31.97,Ongoing
MPLADS/KA/2025-2026/0020,2026-01-02,69,62.91,Ongoing
MPLADS/MA/2026-2027/0021,2026-07-08,10,9.67,Ongoing
MPLADS/UT/2024-2025/0022,2024-03-24,22,21.58,Ongoing
MPLADS/KA/2026-2027/0023,2026-11-21,47,42.09,Ongoing
MPLADS/KA/2024-2025/0024,2024-08-16,13,15.48,Ongoing
MPLADS/UT/2026-2027/0025,2026-04-04,100,100.0,Completed
MPLADS/MA/2026-2027/0026,2027-01-15,100,100.0,Completed
MPLADS/KA/2024-2025/0027,2024-05-25,100,100.0,Completed
MPLADS/TA/2025-2026/0028,2026-04-10,84,96.47,Ongoing
MPLADS/TA/2024-2025/0029,2024-06-12,64,58.29,Delayed
MPLADS/MA/2026-2027/0030,2026-05-26,67,70.24,Ongoing
MPLADS/MA/2026-2027/0031,2026-11-09,45,38.02,Ongoing
MPLADS/TA/2025-2026/0032,2026-03-10,63,61.59,Delayed
MPLADS/UT/2023-2024/0033,2024-02-22,62,63.95,Delayed
MPLADS/TA/2025-2026/0034,2026-01-08,39,38.75,Ongoing
MPLADS/MA/2026-2027/0035,2026-12-05,78,71.3,Ongoing
MPLADS/UT/2026-2027/0036,2027-01-16,100,100.0,Completed
MPLADS/KA/2026-2027/0037,2026-05-15,100,100.0,Completed
MPLADS/UT/2024-2025/0038,2025-04-19,53,57.01,Ongoing
MPLADS/KA/2025-2026/0039,2026-01-29,17,17.74,Ongoing
MPLADS/MA/2024-2025/0040,2024-08-16,87,87.4,Ongoing
MPLADS/KA/2024-2025/0041,2025-03-31,66,72.38,Ongoing
MPLADS/MA/2026-2027/0042,2026-10-29,28,24.73,Ongoing
MPLADS/UT/2025-2026/0043,2026-04-12,27,23.75,Ongoing
MPLADS/KA/2024-2025/0044,2025-04-17,100,100.0,Completed
MPLADS/TA/2025-2026/0045,2025-09-11,18,18.71,Delayed
MPLADS/KA/2024-2025/0046,2024-05-12,84,69.17,Ongoing
MPLADS/TA/2024-2025/0047,2024-09-08,100,100.0,Completed
MPLADS/MA/2025-2026/0048,2025-08-15,100,100.0,Completed
MPLADS/UT/2025-2026/0049,2025-09-29,30,25.23,Delayed
MPLADS/KA/2026-2027/0050,2026-10-04,100,100.0,Completed
MPLADS/KA/2024-2025/0051,2024-10-12,86,86.8,Ongoing
MPLADS/UT/2025-2026/0052,2025-09-17,28,30.11,Ongoing
MPLADS/TA/2026-2027/0053,2026-10-31,100,100.0,Completed
MPLADS/TA/2025-2026/0054,2025-07-18,15,12.4,Delayed
MPLADS/KA/2026-2027/0055,2026-09-23,33,35.25,Ongoing
MPLADS/TA/2026-2027/0056,2026-05-23,74,82.31,Ongoing
MPLADS/TA/2025-2026/0057,2025-06-28,34,40.31,Ongoing
MPLADS/MA/2026-2027/0058,2026-09-14,55,65.59,Ongoing
MPLADS/UT/2023-2024/0059,2024-03-29,76,64.93,Ongoing
MPLADS/KA/2024-2025/0060,2024-10-16,66,58.76,Ongoing
MPLADS/MA/2025-2026/0061,2025-05-19,100,100.0,Completed
MPLADS/MA/2025-2026/0062,2025-10-04,31,25.6,Ongoing
MPLADS/MA/2025-2026/0063,2025-10-09,100,100.0,Completed
MPLADS/MA/2025-2026/0064,2026-02-20,100,100.0,Completed
MPLADS/TA/2025-2026/0065,2026-04-10,89,93.39,Ongoing
MPLADS/TA/2026-2027/0066,2026-03-18,73,72.72,Ongoing
MPLADS/MA/2026-2027/0067,2026-07-15,14,11.38,Ongoing
MPLADS/MA/2024-2025/0068,2024-10-24,100,100.0,Completed
MPLADS/MA/2026-2027/0069,2026-11-09,55,60.86,Ongoing
MPLADS/MA/2025-2026/0070,2026-01-11,22,21.37,Delayed
MPLADS/MA/2024-2025/0071,2025-02-13,100,100.0,Completed
MPLADS/MA/2025-2026/0072,2025-07-31,70,72.46,Delayed
MPLADS/TA/2026-2027/0073,2026-10-04,53,45.93,Ongoing
MPLADS/KA/2024-2025/0074,2025-02-07,48,57.53,Ongoing
MPLADS/KA/2026-2027/0075,2026-09-24,100,100.0,Completed
MPLADS/UT/2023-2024/0076,2024-02-23,63,60.54,Ongoing
MPLADS/TA/2024-2025/0077,2025-02-08,100,100.0,Completed
MPLADS/TA/2023-2024/0078,2024-02-04,65,62.67,Ongoing
MPLADS/UT/2025-2026/0079,2025-11-13,86,76.92,Ongoing
MPLADS/KA/2024-2025/0080,2024-08-28,65,62.97,Ongoing
MPLADS/KA/2025-2026/0081,2026-01-16,80,69.63,Ongoing
MPLADS/TA/2025-2026/0082,2025-05-22,100,100.0,Completed
MPLADS/TA/2025-2026/0083,2025-12-03,77,69.36,Ongoing
MPLADS/TA/2024-2025/0084,2025-04-09,59,66.22,Ongoing
MPLADS/MA/2025-2026/0085,2025-04-26,100,100.0,Completed
MPLADS/UT/2024-2025/0086,2025-01-31,70,76.04,Ongoing
MPLADS/MA/2025-2026/0087,2025-07-19,40,36.05,Ongoing
MPLADS/TA/2026-2027/0088,2026-07-03,60,70.26,Ongoing
MPLADS/KA/2024-2025/0089,2024-10-28,62,69.18,Ongoing
MPLADS/TA/2025-2026/0090,2025-11-09,64,73.65,Delayed
MPLADS/MA/2024-2025/0091,2024-06-08,100,100.0,Completed
MPLADS/UT/2025-2026/0092,2025-09-26,100,100.0,Completed
MPLADS/UT/2025-2026/0093,2025-06-30,86,92.39,Ongoing
MPLADS/KA/2024-2025/0094,2024-05-24,63,59.66,Ongoing
MPLADS/MA/2026-2027/0095,2026-11-24,100,100.0,Completed
MPLADS/UT/2025-2026/0096,2025-06-28,68,76.9,Delayed
MPLADS/MA/2025-2026/0097,2026-03-08,100,100.0,Completed
MPLADS/KA/2023-2024/0098,2024-03-13,62,69.25,Delayed
MPLADS/MA/2025-2026/0099,2026-01-05,51,60.68,Delayed
MPLADS/KA/2024-2025/0100,2025-02-04,87,102.29,Ongoing
MPLADS/UT/2025-2026/0101,2025-09-06,100,100.0,Completed
MPLADS/TA/2025-2026/0102,2025-06-08,100,100.0,Completed
MPLADS/MA/2024-2025/0103,2024-07-03,72,79.59,Delayed
MPLADS/UT/2026-2027/0104,2026-06-23,73,59.59,Ongoing
MPLADS/TA/2024-2025/0105,2024-10-24,44,45.11,Ongoing
MPLADS/MA/2026-2027/0106,2026-04-08,46,49.34,Ongoing
MPLADS/UT/2025-2026/0107,2026-01-19,20,19.68,Ongoing
MPLADS/MA/2025-2026/0108,2025-12-08,82,69.84,Ongoing
MPLADS/UT/2024-2025/0109,2025-02-25,87,82.87,Ongoing
MPLADS/KA/2024-2025/0110,2024-08-07,29,24.6,Ongoing
MPLADS/TA/2025-2026/0111,2025-03-12,100,100.0,Completed
MPLADS/MA/2024-2025/0112,2025-02-17,29,34.0,Ongoing
MPLADS/MA/2026-2027/0113,2026-07-14,100,100.0,Completed
MPLADS/MA/2026-2027/0114,2026-05-11,100,100.0,Completed
MPLADS/TA/2026-2027/0115,2026-04-29,67,70.32,Ongoing
MPLADS/TA/2026-2027/0116,2026-11-17,10,9.58,Ongoing
MPLADS/TA/2026-2027/0117,2026-11-08,72,66.32,Delayed
MPLADS/UT/2024-2025/0118,2024-07-11,100,100.0,Completed
MPLADS/KA/2025-2026/0119,2025-04-19,29,31.77,Ongoing
MPLADS/TA/2025-2026/0120,2026-03-16,100,100.0,Completed
MPLADS/MA/2025-2026/0121,2025-06-19,72,64.28,Ongoing
MPLADS/UT/2024-2025/0122,2025-01-31,65,52.54,Delayed
MPLADS/TA/2024-2025/0123,2024-06-09,47,51.19,Ongoing
MPLADS/KA/2025-2026/0124,2025-06-16,21,22.4,Delayed
