unique_work_number,work_name,work_description,work_category,state,implementing_district,nodal_district,constituency,house_name,mp_name,implementing_agency_name,sanction_amount,actual_expenditure,released_amount,recommendation_date,administrative_approval_date,sanction_date,commencement_date,completion_date,work_status,financial_year,image_uploaded
MPLADS/MA/2026-2027/0001,Construction of Drinking Water in Pune,Suscipit optio modi modi.,Drinking Water,Maharashtra,Pune,Pune,Pune East,Lok Sabha,Azad Kalla,Municipal Corporation,1248357.08,696885.47,1127803.956838067,2026-01-22,2026-02-19,2026-02-24,2026-03-11,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0002,Construction of Library in Lucknow,"Eveniet adipisci magnam quo error.
Eius qui porro optio nam.",Library,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Krisha Raja,Gram Panchayat,1703214.99,315177.24,1227687.16552195,2025-09-20,2025-10-01,2025-10-06,2025-11-11,,Ongoing,2025-2026,No
MPLADS/UT/2025-2026/0003,Construction of Park in Varanasi,Enim dolorem neque impedit commodi fuga.,Park,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Chaitaly Kibe,Municipal Corporation,1059075.42,194220.83,854489.6706281367,2025-06-16,2025-06-29,2025-07-02,2025-07-18,,Ongoing,2025-2026,No
MPLADS/MA/2026-2027/0004,Construction of Roads in Indore,Suscipit rerum excepturi consectetur aspernatur doloremque. Aut quo est consequatur amet libero.,Roads,Madhya Pradesh,Indore,Indore,Indore East,Rajya Sabha,Dayamai Merchant,Gram Panchayat,2718423.89,879454.46,1607687.3388554428,2026-04-10,2026-04-19,2026-04-23,2026-05-08,,Ongoing,2026-2027,No
MPLADS/MA/2025-2026/0005,Construction of Community Hall in Bhopal,Tenetur incidunt a fugit delectus nobis. Sequi reiciendis dolor velit aspernatur.,Community Hall,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Rajya Sabha,Neel Chowdhury,Zila Parishad,6306104.73797242,4165793.97,5239716.460528358,2025-10-21,2025-11-01,2025-11-02,2025-12-06,,Ongoing,2025-2026,No
MPLADS/UT/2024-2025/0006,Construction of Drainage in Kanpur,Dignissimos mollitia minus. Laborum aut sit laboriosam ullam cupiditate.,Drainage,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Devika Sama,Zila Parishad,1059517.83,526343.86,556484.72662381,2024-03-24,2024-04-24,2024-04-25,2024-06-12,2024-12-17,Completed,2024-2025,Yes
MPLADS/MA/2024-2025/0007,Construction of Drainage in Bhopal,Ut fugiat veritatis consequatur maxime. Assumenda itaque soluta neque non.,Drainage,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Rajya Sabha,Vasana Kashyap,PWD,2147527.69,374974.69,1789906.72159685,2024-05-21,2024-06-04,2024-06-07,2024-07-12,,Ongoing,2024-2025,No
MPLADS/UT/2024-2025/0008,Construction of Street Light in Varanasi,Fuga quia veritatis distinctio aliquam cupiditate odio ipsum. Iure at neque eos.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Maya Maharaj,State Housing Board,653486.95,517774.31,568097.5422173523,2024-03-31,2024-04-22,2024-04-24,2024-05-19,2024-12-17,Completed,2024-2025,Yes
MPLADS/UT/2025-2026/0009,Construction of Street Light in Varanasi,Maxime corrupti ut ad harum eum maiores. Veritatis atque quaerat expedita minus.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Bina Mandal,PWD,406105.12,209526.43,214585.7627659356,2025-11-13,2025-12-18,2025-12-20,2026-02-18,2027-08-07,Completed,2025-2026,Yes
MPLADS/MA/2026-2027/0010,Construction of Community Hall in Bhopal,Placeat porro nisi voluptates. Earum officiis fuga.,Community Hall,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Odika Talwar,Gram Panchayat,3151072.05,1153642.43,1665183.5504101594,2026-08-26,2026-09-26,2026-09-29,2026-10-16,,Ongoing,2026-2027,No
MPLADS/TA/2024-2025/0011,Construction of School Building in Madurai,Beatae officiis nam maiores qui. Corporis minus illo nemo sed.,School Building,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Jagdish Dora,PWD,2304873.46,573855.99,1290768.0776895978,2024-05-09,2024-06-10,2024-06-15,2024-08-02,,Ongoing,2024-2025,No
